#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase 
542,25636.4,0.2000,-0.65,-45.88
543,26011.1,0.2000,-0.69,-46.64
544,26391.2,0.2000,-0.71,-47.32
545,26776.9,0.2000,-0.73,-48.06
546,27168.2,0.2000,-0.75,-48.77
547,27565.3,0.2000,-0.78,-49.50
548,27968.1,0.2000,-0.82,-50.24
549,28376.9,0.2000,-0.85,-50.98
550,28791.6,0.2000,-0.88,-51.80
551,29212.4,0.2000,-0.91,-52.59
552,29639.3,0.2000,-0.96,-53.33
553,30072.4,0.2000,-0.99,-54.16
554,30511.9,0.2000,-1.03,-54.99
555,30957.8,0.2000,-1.06,-55.80
556,31410.3,0.2000,-1.12,-56.66
557,31869.3,0.2000,-1.16,-57.50
558,32335.1,0.2000,-1.21,-58.35
559,32807.6,0.2000,-1.26,-59.24
560,33287.1,0.2000,-1.29,-60.11
561,33773.6,0.2000,-1.36,-61.08
562,34267.1,0.2000,-1.43,-61.90
563,34767.9,0.2000,-1.46,-62.88
564,35276.0,0.2000,-1.51,-63.74
565,35791.6,0.2000,-1.56,-64.71
566,36314.7,0.2000,-1.63,-65.62
567,36845.4,0.2000,-1.70,-66.60
568,37383.8,0.2000,-1.77,-67.51
569,37930.2,0.2000,-1.82,-68.53
570,38484.5,0.2000,-1.91,-69.52
571,39046.9,0.2000,-1.98,-70.50
572,39617.6,0.2000,-2.06,-71.47
573,40196.6,0.2000,-2.12,-72.50
574,40784.0,0.2000,-2.20,-73.47
575,41380.1,0.2000,-2.29,-74.51
576,41984.8,0.2000,-2.37,-75.54
577,42598.4,0.2000,-2.48,-76.57
578,43220.9,0.2000,-2.56,-77.59
579,43852.6,0.2000,-2.66,-78.63
580,44493.5,0.2000,-2.74,-79.70
581,45143.7,0.2000,-2.85,-80.75
582,45803.5,0.2000,-2.96,-81.83
583,46472.9,0.2000,-3.05,-82.87
584,47152.0,0.2000,-3.16,-83.91
585,47841.1,0.2000,-3.28,-84.98
586,48540.3,0.2000,-3.39,-85.98
587,49249.7,0.2000,-3.52,-87.11
588,49969.5,0.2000,-3.64,-88.22
589,50699.7,0.2000,-3.76,-89.24
590,51440.7,0.2000,-3.88,-90.33
591,52192.5,0.2000,-4.01,-91.42
592,52955.2,0.2000,-4.14,-92.55
593,53729.1,0.2000,-4.28,-93.55
594,54514.3,0.2000,-4.42,-94.69
595,55311.0,0.2000,-4.57,-95.66
596,56119.4,0.2000,-4.71,-96.75
597,56939.5,0.2000,-4.86,-97.90
598,57771.7,0.2000,-5.01,-98.92
599,58616.0,0.2000,-5.18,-99.94
600,59472.6,0.2000,-5.32,-100.99
601,60341.8,0.2000,-5.48,-102.06
602,61223.6,0.2000,-5.65,-103.12
603,62118.4,0.2000,-5.81,-104.14
604,63026.2,0.2000,-5.99,-105.19
605,63947.3,0.2000,-6.16,-106.15
606,64881.8,0.2000,-6.33,-107.22
607,65830.0,0.2000,-6.51,-108.22
608,66792.1,0.2000,-6.70,-109.20
609,67768.2,0.2000,-6.87,-110.21
610,68758.6,0.2000,-7.07,-111.19
611,69763.5,0.2000,-7.24,-112.16
612,70783.1,0.2000,-7.44,-113.10
613,71817.5,0.2000,-7.62,-114.07
614,72867.1,0.2000,-7.86,-115.08
615,73932.0,0.2000,-8.05,-116.04
616,75012.5,0.2000,-8.25,-116.99
617,76108.7,0.2000,-8.45,-117.90
618,77221.0,0.2000,-8.66,-118.77
619,78349.6,0.2000,-8.87,-119.74
620,79494.6,0.2000,-9.08,-120.63
621,80656.4,0.2000,-9.29,-121.52
622,81835.1,0.2000,-9.49,-122.31
623,83031.1,0.2000,-9.71,-123.22
624,84244.5,0.2000,-9.91,-124.08
625,85475.7,0.2000,-10.13,-124.84
626,86724.9,0.2000,-10.36,-125.70
627,87992.3,0.2000,-10.57,-126.51
628,89278.3,0.2000,-10.80,-127.37
629,90583.0,0.2000,-11.03,-128.16
630,91906.8,0.2000,-11.24,-128.95
631,93250.0,0.2000,-11.46,-129.75
632,94612.8,0.2000,-11.65,-130.40
633,95995.5,0.2000,-11.89,-131.19
634,97398.4,0.2000,-12.12,-131.99
635,98821.9,0.2000,-12.34,-132.69
636,100266.1,0.2000,-12.58,-133.40
637,101731.4,0.2000,-12.81,-134.16
638,103218.2,0.2000,-13.02,-134.86
639,104726.6,0.2000,-13.28,-135.55
640,106257.2,0.2000,-13.51,-136.25
641,107810.0,0.2000,-13.76,-136.93
642,109385.6,0.2000,-13.98,-137.58
643,110984.2,0.2000,-14.23,-138.24
644,112606.2,0.2000,-14.46,-138.99
645,114251.9,0.2000,-14.70,-139.62
646,115921.6,0.2000,-14.96,-140.20
647,117615.7,0.2000,-15.20,-140.84
648,119334.6,0.2000,-15.43,-141.51
649,121078.6,0.2000,-15.73,-142.27
650,122848.1,0.2000,-15.97,-142.90
651,124643.5,0.2000,-16.22,-143.48
652,126465.1,0.2000,-16.46,-144.09
653,128313.3,0.2000,-16.73,-144.73
654,130188.5,0.2000,-16.97,-145.29
655,132091.1,0.2000,-17.22,-145.94
656,134021.6,0.2000,-17.48,-146.56
657,135980.2,0.2000,-17.72,-147.15
658,137967.5,0.2000,-17.98,-147.68
659,139983.8,0.2000,-18.25,-148.22
660,142029.6,0.2000,-18.50,-148.81
661,144105.2,0.2000,-18.76,-149.42
662,146211.3,0.2000,-19.01,-149.97
663,148348.1,0.2000,-19.27,-150.61
664,150516.1,0.2000,-19.54,-151.13
665,152715.8,0.2000,-19.80,-151.69
666,154947.6,0.2000,-20.04,-152.16
667,157212.1,0.2000,-20.29,-152.72
668,159509.7,0.2000,-20.56,-153.25
669,161840.8,0.2000,-20.83,-153.89
670,164206.0,0.2000,-21.10,-154.35
671,166605.8,0.2000,-21.35,-154.83
672,169040.6,0.2000,-21.63,-155.49
673,171511.1,0.2000,-21.90,-156.06
674,174017.6,0.2000,-22.15,-156.68
675,176560.8,0.2000,-22.43,-157.26
676,179141.1,0.2000,-22.69,-157.77
677,181759.1,0.2000,-22.97,-158.35
678,184415.5,0.2000,-23.24,-158.97
679,187110.6,0.2000,-23.54,-159.52
680,189845.1,0.2000,-23.79,-160.11
681,192619.6,0.2000,-24.08,-160.59
682,195434.6,0.2000,-24.32,-161.27
683,198290.8,0.2000,-24.59,-161.81
684,201188.7,0.2000,-24.88,-162.52
685,204128.9,0.2000,-25.17,-163.06
686,207112.1,0.2000,-25.45,-163.66
687,210139.0,0.2000,-25.73,-164.34
688,213210.0,0.2000,-26.00,-164.93
689,216326.0,0.2000,-26.31,-165.63
690,219487.4,0.2000,-26.60,-166.25
691,222695.1,0.2000,-26.89,-166.87
692,225949.7,0.2000,-27.17,-167.63
693,229251.8,0.2000,-27.47,-168.37
694,232602.2,0.2000,-27.75,-169.03
695,236001.5,0.2000,-28.04,-169.64
696,239450.6,0.2000,-28.35,189.39
697,242950.0,0.2000,-28.71,188.61
698,246500.6,0.2000,-29.00,187.83
699,250103.0,0.2000,-29.28,186.93
700,253758.1,0.2000,-29.59,186.13
701,257466.7,0.2000,-29.89,185.27
702,261229.4,0.2000,-30.19,184.39
703,265047.1,0.2000,-30.48,183.38
704,268920.6,0.2000,-30.77,182.30
705,272850.7,0.2000,-31.07,181.37
706,276838.3,0.2000,-31.36,180.38
707,280884.1,0.2000,-31.67,179.10
708,284989.1,0.2000,-31.99,177.91
709,289154.0,0.2000,-32.26,176.75
710,293379.8,0.2000,-32.58,175.57
711,297667.4,0.2000,-32.86,174.58
712,302017.7,0.2000,-33.13,173.35
713,306431.5,0.2000,-33.43,171.84
714,310909.8,0.2000,-33.73,170.24
715,315453.5,0.2000,-34.00,168.62
716,320063.7,0.2000,-34.29,167.44
717,324741.3,0.2000,-34.55,165.58
718,329487.2,0.2000,-34.84,164.08
719,334302.4,0.2000,-35.12,162.24
720,339188.1,0.2000,-35.36,160.45
721,344145.1,0.2000,-35.59,158.58
722,349174.6,0.2000,-35.87,156.66
723,354277.6,0.2000,-36.10,154.63
724,359455.1,0.2000,-36.33,152.90
725,364708.4,0.2000,-36.50,150.56
726,370038.4,0.2000,-36.75,148.28
727,375446.3,0.2000,-36.90,146.15
728,380933.2,0.2000,-36.98,143.54
729,386500.3,0.2000,-37.23,141.70
730,392148.8,0.2000,-37.31,139.05
731,397879.8,0.2000,-37.47,136.93
732,403694.6,0.2000,-37.63,134.68
733,409594.3,0.2000,-37.66,132.25
734,415580.3,0.2000,-37.72,129.86
735,421653.8,0.2000,-37.72,127.43
736,427816.0,0.2000,-37.74,125.28
737,434068.3,0.2000,-37.79,122.85
738,440412.0,0.2000,-37.74,120.72
739,446848.3,0.2000,-37.78,118.19
740,453378.8,0.2000,-37.71,116.29
741,460004.6,0.2000,-37.70,114.51
742,466727.3,0.2000,-37.62,112.39
743,473548.3,0.2000,-37.53,110.33
744,480468.9,0.2000,-37.48,108.34
745,487490.7,0.2000,-37.39,106.62
746,494615.1,0.2000,-37.27,104.78
747,501843.6,0.2000,-37.22,103.59
748,509177.7,0.2000,-37.12,102.03
749,516619.1,0.2000,-36.99,100.38
750,524169.2,0.2000,-36.83,98.80
751,531829.6,0.2000,-36.72,97.68
752,539602.0,0.2000,-36.61,96.20
753,547487.9,0.2000,-36.45,94.78
754,555489.2,0.2000,-36.27,93.19
755,563607.3,0.2000,-36.11,92.44
756,571844.1,0.2000,-36.01,91.67
757,580201.3,0.2000,-35.83,90.10
758,588680.6,0.2000,-35.69,89.69
759,597283.8,0.2000,-35.60,88.58
760,606012.8,0.2000,-35.45,87.62
761,614869.3,0.2000,-35.31,86.96
762,623855.2,0.2000,-35.10,86.08
763,632972.5,0.2000,-34.98,85.23
764,642223.0,0.2000,-34.73,84.57
765,651608.8,0.2000,-34.65,84.16
766,661131.6,0.2000,-34.55,83.20
767,670793.7,0.2000,-34.40,82.75
768,680597.0,0.2000,-34.23,81.75
769,690543.5,0.2000,-34.05,81.46
770,700635.4,0.2000,-33.90,80.91
771,710874.8,0.2000,-33.81,80.58
772,721263.8,0.2000,-33.64,80.11
773,731804.6,0.2000,-33.47,79.90
774,742499.5,0.2000,-33.32,79.10
775,753350.7,0.2000,-33.16,78.58
776,764360.5,0.2000,-33.07,78.26
777,775531.2,0.2000,-32.89,78.02
778,786865.1,0.2000,-32.76,77.58
779,798364.7,0.2000,-32.63,77.13
780,810032.4,0.2000,-32.43,76.72
781,821870.5,0.2000,-32.35,76.27
782,833881.7,0.2000,-32.17,76.27
783,846068.4,0.2000,-32.07,75.50
784,858433.2,0.2000,-31.93,75.69
785,870978.7,0.2000,-31.74,74.87
786,883707.5,0.2000,-31.67,74.99
787,896622.4,0.2000,-31.50,74.55
788,909726.0,0.2000,-31.35,74.48
789,923021.1,0.2000,-31.23,74.19
790,936510.5,0.2000,-31.10,74.20
791,950197.1,0.2000,-30.93,73.75
792,964083.7,0.2000,-30.82,73.54
793,978173.2,0.2000,-30.70,73.26
794,992468.6,0.2000,-30.58,73.16
795,1006973.0,0.2000,-30.42,72.55
796,1021689.3,0.2000,-30.20,72.58
797,1036620.7,0.2000,-30.11,72.18
798,1051770.3,0.2000,-29.96,72.41
799,1067141.3,0.2000,-29.85,72.37
800,1082737.0,0.2000,-29.71,72.00
801,1098560.5,0.2000,-29.58,71.99
802,1114615.4,0.2000,-29.40,71.37
803,1130904.8,0.2000,-29.26,71.47
804,1147432.3,0.2000,-29.14,71.20
805,1164201.4,0.2000,-29.00,70.81
806,1181215.5,0.2000,-28.83,70.68
807,1198478.3,0.2000,-28.66,70.36
808,1215993.4,0.2000,-28.53,70.68
809,1233764.4,0.2000,-28.36,70.35
810,1251795.2,0.2000,-28.25,69.93
811,1270089.4,0.2000,-28.06,69.85
812,1288651.0,0.2000,-27.95,69.71
813,1307483.9,0.2000,-27.80,69.67
814,1326592.0,0.2000,-27.64,69.28
815,1345979.4,0.2000,-27.51,68.93
816,1365650.1,0.2000,-27.35,68.75
817,1385608.3,0.2000,-27.21,68.38
818,1405858.2,0.2000,-27.07,68.49
819,1426404.0,0.2000,-26.90,68.12
820,1447250.0,0.2000,-26.79,67.82
821,1468400.7,0.2000,-26.65,67.81
822,1489860.6,0.2000,-26.51,67.33
823,1511634.0,0.2000,-26.19,67.26
824,1533725.7,0.2000,-26.08,66.83
825,1556140.2,0.2000,-25.94,66.48
826,1578882.3,0.2000,-25.77,66.44
827,1601956.7,0.2000,-25.63,66.03
828,1625368.4,0.2000,-25.47,65.76
829,1649122.2,0.2000,-25.29,65.53
830,1673223.2,0.2000,-25.15,65.29
831,1697676.3,0.2000,-24.95,64.89
832,1722486.9,0.2000,-24.83,64.65
833,1747660.0,0.2000,-24.63,63.88
834,1773201.1,0.2000,-24.50,64.06
835,1799115.4,0.2000,-24.29,63.49
836,1825408.4,0.2000,-24.19,63.24
837,1852085.7,0.2000,-24.02,62.98
838,1879152.8,0.2000,-23.82,62.00
839,1906615.6,0.2000,-23.67,61.73
840,1934479.7,0.2000,-23.51,61.21
841,1962751.0,0.2000,-23.29,60.99
842,1991435.4,0.2000,-23.12,60.28
843,2020539.1,0.2000,-22.95,60.34
844,2050068.1,0.2000,-22.78,59.70
845,2080028.6,0.2000,-22.63,59.25
846,2110427.1,0.2000,-22.44,58.21
847,2141269.7,0.2000,-22.29,58.20
848,2172563.1,0.2000,-22.10,57.27
849,2204313.9,0.2000,-21.94,56.64
850,2236528.7,0.2000,-21.79,56.37
851,2269214.2,0.2000,-21.60,55.32
852,2302377.5,0.2000,-21.39,54.40
853,2336025.4,0.2000,-21.19,53.98
854,2370165.0,0.2000,-21.04,53.50
855,2404803.6,0.2000,-20.84,52.11
856,2439948.4,0.2000,-20.64,52.06
857,2475606.9,0.2000,-20.46,50.96
858,2511786.4,0.2000,-20.27,50.07
859,2548494.7,0.2000,-20.10,49.15
860,2585739.5,0.2000,-19.88,48.13
861,2623528.6,0.2000,-19.69,47.45
862,2661869.9,0.2000,-19.51,46.37
863,2700771.6,0.2000,-19.33,45.18
864,2740241.8,0.2000,-19.10,43.71
865,2780288.8,0.2000,-18.95,42.92
866,2820921.1,0.2000,-18.77,41.75
867,2862147.3,0.2000,-18.56,40.83
868,2903975.9,0.2000,-18.40,39.28
869,2946415.8,0.2000,-18.22,37.50
870,2989476.0,0.2000,-18.06,36.50
871,3033165.4,0.2000,-17.85,34.86
872,3077493.4,0.2000,-17.75,33.49
873,3122469.1,0.2000,-17.51,31.95
874,3168102.2,0.2000,-17.38,30.22
875,3214402.2,0.2000,-17.24,28.82
876,3261378.8,0.2000,-17.06,26.99
877,3309042.0,0.2000,-16.92,25.26
878,3357401.7,0.2000,-16.79,23.38
879,3406468.2,0.2000,-16.70,21.58
880,3456251.7,0.2000,-16.57,19.56
881,3506762.8,0.2000,-16.47,17.34
882,3558012.1,0.2000,-16.37,15.09
883,3610010.4,0.2000,-16.29,13.52
884,3662768.6,0.2000,-16.20,10.52
885,3716297.9,0.2000,-16.16,8.83
886,3770609.4,0.2000,-16.11,6.80
887,3825714.7,0.2000,-16.09,4.65
888,3881625.3,0.2000,-16.04,2.12
889,3938353.0,0.2000,-16.08,-0.81
890,3995909.7,0.2000,-16.05,-2.17
891,4054307.6,0.2000,-16.06,-4.45
892,4113559.0,0.2000,-16.15,-6.67
893,4173676.2,0.2000,-16.17,-8.69
894,4234672.1,0.2000,-16.23,-11.19
895,4296559.4,0.2000,-16.30,-13.07
896,4359351.1,0.2000,-16.42,-15.67
897,4423060.5,0.2000,-16.49,-17.16
898,4487700.9,0.2000,-16.56,-18.98
899,4553286.1,0.2000,-16.69,-21.02
900,4619829.7,0.2000,-16.84,-22.75
901,4687345.8,0.2000,-17.00,-24.57
902,4755848.7,0.2000,-17.13,-26.60
903,4825352.6,0.2000,-17.23,-28.29
904,4895872.4,0.2000,-17.44,-29.79
905,4967422.7,0.2000,-17.58,-31.45
906,5040018.7,0.2000,-17.74,-33.01
907,5113675.6,0.2000,-17.91,-34.52
908,5188409.0,0.2000,-18.07,-37.30
909,5264234.6,0.2000,-18.23,-38.36
910,5341168.3,0.2000,-18.42,-38.76
911,5419226.4,0.2000,-18.62,-41.09
912,5498425.3,0.2000,-18.76,-41.18
913,5578781.6,0.2000,-18.97,-42.54
914,5660312.2,0.2000,-19.14,-43.21
915,5743034.4,0.2000,-19.29,-44.58
916,5826965.5,0.2000,-19.52,-45.72
917,5912123.2,0.2000,-19.67,-47.79
918,5998525.5,0.2000,-19.86,-48.68
919,6086190.4,0.2000,-20.02,-48.91
920,6175136.6,0.2000,-20.25,-50.54
921,6265382.6,0.2000,-20.40,-50.56
922,6356947.5,0.2000,-20.57,-50.92
923,6449850.6,0.2000,-20.76,-52.02
924,6544111.4,0.2000,-20.93,-52.76
925,6639749.8,0.2000,-21.11,-54.89
926,6736785.9,0.2000,-21.29,-54.37
927,6835240.1,0.2000,-21.50,-54.78
928,6935133.2,0.2000,-21.63,-56.81
929,7036486.1,0.2000,-21.86,-57.39
930,7139320.3,0.2000,-22.01,-56.69
931,7243657.3,0.2000,-22.23,-57.26
932,7349519.2,0.2000,-22.38,-59.03
933,7456928.1,0.2000,-22.51,-58.53
934,7565906.8,0.2000,-22.74,-59.27
935,7676478.1,0.2000,-22.86,-59.55
936,7788665.4,0.2000,-23.05,-60.03
937,7902492.2,0.2000,-23.26,-60.17
938,8017982.5,0.2000,-23.40,-62.03
939,8135160.7,0.2000,-23.52,-60.83
940,8254051.3,0.2000,-23.72,-62.94
941,8374679.5,0.2000,-23.87,-62.49
942,8497070.6,0.2000,-24.02,-62.13
943,8621250.3,0.2000,-24.21,-62.59
944,8747244.9,0.2000,-24.35,-63.32
945,8875080.8,0.2000,-24.50,-64.76
946,9004785.0,0.2000,-24.70,-63.63
947,9136384.7,0.2000,-24.81,-65.54
948,9269907.6,0.2000,-24.96,-65.81
949,9405381.9,0.2000,-25.12,-66.77
950,9542836.1,0.2000,-25.28,-64.91
951,9682299.1,0.2000,-25.41,-65.44
952,9823800.3,0.2000,-25.60,-65.17
953,9967369.4,0.2000,-25.85,-67.99
954,10113036.8,0.2000,-25.95,-66.07
955,10260832.9,0.2000,-26.13,-66.41
956,10410789.0,0.2000,-26.25,-66.65
957,10562936.7,0.2000,-26.41,-66.88
958,10717307.9,0.2000,-26.59,-67.04
959,10873935.1,0.2000,-26.75,-67.18
960,11032851.3,0.2000,-26.90,-69.37
961,11194090.0,0.2000,-27.08,-67.15
962,11357685.2,0.2000,-27.19,-67.01
963,11523671.1,0.2000,-27.44,-67.46
964,11692082.9,0.2000,-27.52,-67.44
965,11862955.9,0.2000,-27.62,-67.98
966,12036326.1,0.2000,-27.78,-68.35
967,12212230.0,0.2000,-27.98,-68.52
968,12390704.7,0.2000,-28.18,-70.08
969,12571787.6,0.2000,-28.26,-68.61
970,12755517.0,0.2000,-28.42,-69.27
971,12941931.5,0.2000,-28.49,-69.42
972,13131070.3,0.2000,-28.67,-68.32
973,13322973.2,0.2000,-28.85,-68.86
974,13517680.8,0.2000,-28.98,-68.96
975,13715233.8,0.2000,-29.14,-69.01
976,13915674.0,0.2000,-29.31,-69.52
977,14119043.5,0.2000,-29.38,-68.85
978,14325385.1,0.2000,-29.63,-69.67
979,14534742.3,0.2000,-29.71,-69.52
980,14747159.1,0.2000,-29.89,-69.06
981,14962680.3,0.2000,-29.95,-69.95
982,15181351.1,0.2000,-30.18,-69.99
983,15403217.8,0.2000,-30.37,-69.65
984,15628326.9,0.2000,-30.47,-69.54
985,15856725.8,0.2000,-30.63,-69.31
986,16088462.6,0.2000,-30.70,-68.72
987,16323586.2,0.2000,-30.93,-69.92
988,16562145.9,0.2000,-31.03,-68.96
989,16804192.0,0.2000,-31.14,-69.34
990,17049775.5,0.2000,-31.27,-69.00
991,17298948.1,0.2000,-31.46,-69.15
992,17551762.2,0.2000,-31.65,-69.59
993,17808271.0,0.2000,-31.78,-68.62
994,18068528.5,0.2000,-31.89,-69.03
995,18332589.6,0.2000,-32.00,-70.38
996,18600509.7,0.2000,-32.11,-68.25
997,18872345.4,0.2000,-32.32,-69.39
998,19148153.7,0.2000,-32.50,-69.29
999,19427992.9,0.2000,-32.52,-69.43
1000,19711921.7,0.2000,-32.73,-70.00
1001,20000000.0,0.2000,-32.91,-68.79
