#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase
533,22498.2,0.2000,10.05,-1.49
534,22827.0,0.2000,10.05,-1.54
535,23160.6,0.2000,10.05,-1.55
536,23499.1,0.2000,10.04,-1.48
537,23842.5,0.2000,10.04,-1.55
538,24191.0,0.2000,10.04,-1.55
539,24544.5,0.2000,10.05,-1.60
540,24903.2,0.2000,10.04,-1.60
541,25267.1,0.2000,10.04,-1.62
542,25636.4,0.2000,10.04,-1.66
543,26011.1,0.2000,10.04,-1.71
544,26391.2,0.2000,10.04,-1.71
545,26776.9,0.2000,10.04,-1.71
546,27168.2,0.2000,10.04,-1.78
547,27565.3,0.2000,10.03,-1.78
548,27968.1,0.2000,10.04,-1.83
549,28376.9,0.2000,10.04,-1.83
550,28791.6,0.2000,10.03,-1.88
551,29212.4,0.2000,10.04,-1.89
552,29639.3,0.2000,10.04,-1.89
553,30072.4,0.2000,10.04,-1.89
554,30511.9,0.2000,10.02,-1.94
555,30957.8,0.2000,10.03,-2.01
556,31410.3,0.2000,10.04,-2.01
557,31869.3,0.2000,10.03,-2.07
558,32335.1,0.2000,10.04,-2.08
559,32807.6,0.2000,10.04,-2.08
560,33287.1,0.2000,10.04,-2.12
561,33773.6,0.2000,10.03,-2.13
562,34267.1,0.2000,10.03,-2.18
563,34767.9,0.2000,10.04,-2.18
564,35276.0,0.2000,10.02,-2.23
565,35791.6,0.2000,10.02,-2.25
566,36314.7,0.2000,10.03,-2.30
567,36845.4,0.2000,10.03,-2.34
568,37383.8,0.2000,10.04,-2.35
569,37930.2,0.2000,10.03,-2.35
570,38484.5,0.2000,10.03,-2.47
571,39046.9,0.2000,10.03,-2.42
572,39617.6,0.2000,10.03,-2.51
573,40196.6,0.2000,10.02,-2.49
574,40784.0,0.2000,10.02,-2.58
575,41380.1,0.2000,10.04,-2.62
576,41984.8,0.2000,10.03,-2.58
577,42598.4,0.2000,10.02,-2.69
578,43220.9,0.2000,10.02,-2.69
579,43852.6,0.2000,10.02,-2.71
580,44493.5,0.2000,10.03,-2.80
581,45143.7,0.2000,10.03,-2.81
582,45803.5,0.2000,10.03,-2.81
583,46472.9,0.2000,10.02,-2.92
584,47152.0,0.2000,10.02,-2.88
585,47841.1,0.2000,10.03,-2.91
586,48540.3,0.2000,10.02,-2.98
587,49249.7,0.2000,10.02,-2.99
588,49969.5,0.2000,10.02,-3.03
589,50699.7,0.2000,10.03,-3.09
590,51440.7,0.2000,10.02,-3.15
591,52192.5,0.2000,10.04,-3.15
592,52955.2,0.2000,10.04,-3.21
593,53729.1,0.2000,10.02,-3.31
594,54514.3,0.2000,10.02,-3.33
595,55311.0,0.2000,10.02,-3.38
596,56119.4,0.2000,10.02,-3.44
597,56939.5,0.2000,10.02,-3.38
598,57771.7,0.2000,10.03,-3.49
599,58616.0,0.2000,10.02,-3.49
600,59472.6,0.2000,10.02,-3.55
601,60341.8,0.2000,10.02,-3.61
602,61223.6,0.2000,10.02,-3.68
603,62118.4,0.2000,10.02,-3.72
604,63026.2,0.2000,10.02,-3.74
605,63947.3,0.2000,10.02,-3.84
606,64881.8,0.2000,10.02,-3.84
607,65830.0,0.2000,10.02,-3.96
608,66792.1,0.2000,10.02,-3.97
609,67768.2,0.2000,10.02,-4.06
610,68758.6,0.2000,10.02,-4.11
611,69763.5,0.2000,10.02,-4.23
612,70783.1,0.2000,10.02,-4.24
613,71817.5,0.2000,10.02,-4.34
614,72867.1,0.2000,10.03,-4.35
615,73932.0,0.2000,10.02,-4.41
616,75012.5,0.2000,10.03,-4.46
617,76108.7,0.2000,10.03,-4.57
618,77221.0,0.2000,10.02,-4.64
619,78349.6,0.2000,10.02,-4.69
620,79494.6,0.2000,10.03,-4.74
621,80656.4,0.2000,10.02,-4.81
622,81835.1,0.2000,10.03,-4.85
623,83031.1,0.2000,10.02,-4.99
624,84244.5,0.2000,10.03,-4.99
625,85475.7,0.2000,10.03,-5.14
626,86724.9,0.2000,10.04,-5.16
627,87992.3,0.2000,10.03,-5.26
628,89278.3,0.2000,10.03,-5.27
629,90583.0,0.2000,10.03,-5.45
630,91906.8,0.2000,10.03,-5.49
631,93250.0,0.2000,10.03,-5.56
632,94612.8,0.2000,10.04,-5.68
633,95995.5,0.2000,10.03,-5.75
634,97398.4,0.2000,10.02,-5.79
635,98821.9,0.2000,10.02,-5.90
636,100266.1,0.2000,10.04,-6.01
637,101731.4,0.2000,10.03,-6.09
638,103218.2,0.2000,10.03,-6.19
639,104726.6,0.2000,10.03,-6.25
640,106257.2,0.2000,10.03,-6.34
641,107810.0,0.2000,10.04,-6.46
642,109385.6,0.2000,10.03,-6.53
643,110984.2,0.2000,10.03,-6.63
644,112606.2,0.2000,10.03,-6.71
645,114251.9,0.2000,10.04,-6.86
646,115921.6,0.2000,10.03,-6.97
647,117615.7,0.2000,10.02,-7.03
648,119334.6,0.2000,10.03,-7.10
649,121078.6,0.2000,10.02,-7.26
650,122848.1,0.2000,10.04,-7.39
651,124643.5,0.2000,10.03,-7.46
652,126465.1,0.2000,10.02,-7.60
653,128313.3,0.2000,10.03,-7.78
654,130188.5,0.2000,10.04,-7.79
655,132091.1,0.2000,10.03,-8.01
656,134021.6,0.2000,10.03,-8.02
657,135980.2,0.2000,10.02,-8.20
658,137967.5,0.2000,10.04,-8.32
659,139983.8,0.2000,10.03,-8.42
660,142029.6,0.2000,10.02,-8.58
661,144105.2,0.2000,10.03,-8.67
662,146211.3,0.2000,10.01,-8.84
663,148348.1,0.2000,10.02,-8.93
664,150516.1,0.2000,10.02,-9.05
665,152715.8,0.2000,10.01,-9.24
666,154947.6,0.2000,10.02,-9.36
667,157212.1,0.2000,10.01,-9.54
668,159509.7,0.2000,10.01,-9.66
669,161840.8,0.2000,10.01,-9.80
670,164206.0,0.2000,10.02,-9.91
671,166605.8,0.2000,10.02,-10.07
672,169040.6,0.2000,10.02,-10.24
673,171511.1,0.2000,10.02,-10.37
674,174017.6,0.2000,10.00,-10.64
675,176560.8,0.2000,10.02,-10.71
676,179141.1,0.2000,10.00,-10.91
677,181759.1,0.2000,10.01,-11.12
678,184415.5,0.2000,10.01,-11.33
679,187110.6,0.2000,10.01,-11.40
680,189845.1,0.2000,10.00,-11.62
681,192619.6,0.2000,10.01,-11.79
682,195434.6,0.2000,9.98,-11.92
683,198290.8,0.2000,10.00,-12.15
684,201188.7,0.2000,10.00,-12.40
685,204128.9,0.2000,10.01,-12.53
686,207112.1,0.2000,9.99,-12.76
687,210139.0,0.2000,9.98,-12.94
688,213210.0,0.2000,9.98,-13.12
689,216326.0,0.2000,9.96,-13.39
690,219487.4,0.2000,9.98,-13.52
691,222695.1,0.2000,9.99,-13.69
692,225949.7,0.2000,9.98,-13.97
693,229251.8,0.2000,9.97,-14.21
694,232602.2,0.2000,9.96,-14.28
695,236001.5,0.2000,9.97,-14.50
696,239450.6,0.2000,9.96,-14.69
697,242950.0,0.2000,9.95,-14.94
698,246500.6,0.2000,9.95,-15.11
699,250103.0,0.2000,9.96,-15.44
700,253758.1,0.2000,9.94,-15.63
701,257466.7,0.2000,9.94,-15.85
702,261229.4,0.2000,9.94,-16.08
703,265047.1,0.2000,9.92,-16.36
704,268920.6,0.2000,9.94,-16.54
705,272850.7,0.2000,9.93,-16.79
706,276838.3,0.2000,9.93,-17.06
707,280884.1,0.2000,9.92,-17.22
708,284989.1,0.2000,9.91,-17.59
709,289154.0,0.2000,9.90,-17.92
710,293379.8,0.2000,9.90,-18.12
711,297667.4,0.2000,9.91,-18.32
712,302017.7,0.2000,9.89,-18.49
713,306431.5,0.2000,9.88,-18.83
714,310909.8,0.2000,9.90,-19.12
715,315453.5,0.2000,9.89,-19.58
716,320063.7,0.2000,9.88,-19.71
717,324741.3,0.2000,9.85,-19.93
718,329487.2,0.2000,9.88,-20.31
719,334302.4,0.2000,9.84,-20.55
720,339188.1,0.2000,9.88,-20.88
721,344145.1,0.2000,9.85,-21.19
722,349174.6,0.2000,9.82,-21.48
723,354277.6,0.2000,9.85,-21.67
724,359455.1,0.2000,9.82,-22.06
725,364708.4,0.2000,9.81,-22.44
726,370038.4,0.2000,9.81,-22.69
727,375446.3,0.2000,9.80,-23.01
728,380933.2,0.2000,9.79,-23.47
729,386500.3,0.2000,9.79,-23.66
730,392148.8,0.2000,9.79,-24.09
731,397879.8,0.2000,9.76,-24.46
732,403694.6,0.2000,9.76,-24.83
733,409594.3,0.2000,9.75,-25.21
734,415580.3,0.2000,9.73,-25.54
735,421653.8,0.2000,9.72,-25.91
736,427816.0,0.2000,9.70,-26.23
737,434068.3,0.2000,9.70,-26.63
738,440412.0,0.2000,9.69,-26.99
739,446848.3,0.2000,9.65,-27.47
740,453378.8,0.2000,9.66,-27.71
741,460004.6,0.2000,9.65,-28.12
742,466727.3,0.2000,9.64,-28.50
743,473548.3,0.2000,9.63,-28.94
744,480468.9,0.2000,9.60,-29.42
745,487490.7,0.2000,9.62,-29.86
746,494615.1,0.2000,9.59,-30.22
747,501843.6,0.2000,9.57,-30.54
748,509177.7,0.2000,9.56,-31.04
749,516619.1,0.2000,9.55,-31.49
750,524169.2,0.2000,9.53,-31.87
751,531829.6,0.2000,9.53,-32.37
752,539602.0,0.2000,9.51,-32.77
753,547487.9,0.2000,9.49,-33.21
754,555489.2,0.2000,9.47,-33.80
755,563607.3,0.2000,9.44,-34.17
756,571844.1,0.2000,9.43,-34.70
757,580201.3,0.2000,9.42,-35.27
758,588680.6,0.2000,9.39,-35.73
759,597283.8,0.2000,9.36,-36.28
760,606012.8,0.2000,9.36,-36.64
761,614869.3,0.2000,9.34,-37.09
762,623855.2,0.2000,9.31,-37.67
763,632972.5,0.2000,9.28,-38.26
764,642223.0,0.2000,9.28,-38.72
765,651608.8,0.2000,9.25,-39.28
766,661131.6,0.2000,9.21,-39.79
767,670793.7,0.2000,9.21,-40.48
768,680597.0,0.2000,9.18,-40.95
769,690543.5,0.2000,9.16,-41.51
770,700635.4,0.2000,9.13,-42.19
771,710874.8,0.2000,9.10,-42.65
772,721263.8,0.2000,9.06,-43.44
773,731804.6,0.2000,9.03,-44.00
774,742499.5,0.2000,9.01,-44.38
775,753350.7,0.2000,8.98,-45.13
776,764360.5,0.2000,8.95,-45.83
777,775531.2,0.2000,8.93,-46.22
778,786865.1,0.2000,8.89,-46.97
779,798364.7,0.2000,8.84,-47.36
780,810032.4,0.2000,8.85,-47.96
781,821870.5,0.2000,8.78,-48.65
782,833881.7,0.2000,8.74,-49.31
783,846068.4,0.2000,8.72,-50.10
784,858433.2,0.2000,8.70,-50.53
785,870978.7,0.2000,8.59,-51.55
786,883707.5,0.2000,8.55,-52.25
787,896622.4,0.2000,8.50,-52.99
788,909726.0,0.2000,8.48,-53.64
789,923021.1,0.2000,8.43,-54.39
790,936510.5,0.2000,8.37,-54.97
791,950197.1,0.2000,8.37,-55.76
792,964083.7,0.2000,8.31,-56.50
793,978173.2,0.2000,8.26,-57.06
794,992468.6,0.2000,8.22,-57.91
795,1006973.0,0.2000,8.14,-58.60
796,1021689.3,0.2000,8.11,-59.27
797,1036620.7,0.2000,8.07,-60.22
798,1051770.3,0.2000,8.05,-60.84
799,1067141.3,0.2000,7.98,-61.71
800,1082737.0,0.2000,7.92,-62.31
801,1098560.5,0.2000,7.88,-63.03
802,1114615.4,0.2000,7.81,-63.70
803,1130904.8,0.2000,7.77,-64.52
804,1147432.3,0.2000,7.72,-65.38
805,1164201.4,0.2000,7.67,-66.04
806,1181215.5,0.2000,7.61,-66.81
807,1198478.3,0.2000,7.53,-67.66
808,1215993.4,0.2000,7.49,-68.47
809,1233764.4,0.2000,7.42,-69.58
810,1251795.2,0.2000,7.36,-70.21
811,1270089.4,0.2000,7.29,-71.31
812,1288651.0,0.2000,7.23,-71.95
813,1307483.9,0.2000,7.17,-72.83
814,1326592.0,0.2000,7.11,-73.61
815,1345979.4,0.2000,7.02,-74.42
816,1365650.1,0.2000,6.96,-75.29
817,1385608.3,0.2000,6.89,-76.19
818,1405858.2,0.2000,6.82,-77.30
819,1426404.0,0.2000,6.75,-78.28
820,1447250.0,0.2000,6.68,-78.78
821,1468400.7,0.2000,6.60,-79.80
822,1489860.6,0.2000,6.53,-80.92
823,1511634.0,0.2000,6.44,-81.56
824,1533725.7,0.2000,6.37,-82.62
825,1556140.2,0.2000,6.28,-83.75
826,1578882.3,0.2000,6.21,-84.71
827,1601956.7,0.2000,6.13,-85.32
828,1625368.4,0.2000,6.04,-86.32
829,1649122.2,0.2000,5.97,-87.27
830,1673223.2,0.2000,5.87,-88.08
831,1697676.3,0.2000,5.78,-88.99
832,1722486.9,0.2000,5.67,-89.96
833,1747660.0,0.2000,5.59,-91.54
834,1773201.1,0.2000,5.51,-92.15
835,1799115.4,0.2000,5.42,-93.10
836,1825408.4,0.2000,5.31,-94.04
837,1852085.7,0.2000,5.23,-95.06
838,1879152.8,0.2000,5.13,-95.97
839,1906615.6,0.2000,5.03,-97.03
840,1934479.7,0.2000,4.93,-98.09
841,1962751.0,0.2000,4.86,-99.01
842,1991435.4,0.2000,4.74,-100.14
843,2020539.1,0.2000,4.57,-101.28
844,2050068.1,0.2000,4.47,-102.41
845,2080028.6,0.2000,4.37,-103.35
846,2110427.1,0.2000,4.24,-104.90
847,2141269.7,0.2000,4.14,-105.63
848,2172563.1,0.2000,4.04,-106.75
849,2204313.9,0.2000,3.94,-107.63
850,2236528.7,0.2000,3.78,-108.78
851,2269214.2,0.2000,3.70,-110.14
852,2302377.5,0.2000,3.56,-111.37
853,2336025.4,0.2000,3.45,-112.12
854,2370165.0,0.2000,3.35,-113.14
855,2404803.6,0.2000,3.22,-114.18
856,2439948.4,0.2000,3.10,-115.28
857,2475606.9,0.2000,2.96,-116.32
858,2511786.4,0.2000,2.84,-117.73
859,2548494.7,0.2000,2.70,-119.46
860,2585739.5,0.2000,2.59,-119.91
861,2623528.6,0.2000,2.45,-121.23
862,2661869.9,0.2000,2.31,-122.67
863,2700771.6,0.2000,2.17,-124.22
864,2740241.8,0.2000,2.05,-124.95
865,2780288.8,0.2000,1.94,-126.02
866,2820921.1,0.2000,1.79,-127.30
867,2862147.3,0.2000,1.65,-128.31
868,2903975.9,0.2000,1.49,-130.13
869,2946415.8,0.2000,1.33,-130.75
870,2989476.0,0.2000,1.20,-132.14
871,3033165.4,0.2000,1.07,-133.34
872,3077493.4,0.2000,0.96,-134.62
873,3122469.1,0.2000,0.80,-136.18
874,3168102.2,0.2000,0.64,-136.91
875,3214402.2,0.2000,0.49,-138.58
876,3261378.8,0.2000,0.36,-139.59
877,3309042.0,0.2000,0.19,-140.85
878,3357401.7,0.2000,0.05,-142.23
879,3406468.2,0.2000,-0.11,-143.30
880,3456251.7,0.2000,-0.28,-144.75
881,3506762.8,0.2000,-0.42,-146.12
882,3558012.1,0.2000,-0.61,-147.95
883,3610010.4,0.2000,-0.77,-148.60
884,3662768.6,0.2000,-0.95,-150.18
885,3716297.9,0.2000,-1.10,-151.37
886,3770609.4,0.2000,-1.29,-153.29
887,3825714.7,0.2000,-1.43,-153.87
888,3881625.3,0.2000,-1.64,-155.41
889,3938353.0,0.2000,-1.78,-156.53
890,3995909.7,0.2000,-1.98,-157.93
891,4054307.6,0.2000,-2.17,-160.24
892,4113559.0,0.2000,-2.33,-160.74
893,4173676.2,0.2000,-2.51,-162.13
894,4234672.1,0.2000,-2.72,-163.84
895,4296559.4,0.2000,-2.92,-164.88
896,4359351.1,0.2000,-3.08,-166.16
897,4423060.5,0.2000,-3.27,-167.51
898,4487700.9,0.2000,-3.45,-168.88
899,4553286.1,0.2000,-3.64,189.64
900,4619829.7,0.2000,-3.84,187.27
901,4687345.8,0.2000,-4.00,186.08
902,4755848.7,0.2000,-4.21,185.39
903,4825352.6,0.2000,-4.43,184.06
904,4895872.4,0.2000,-4.62,182.58
905,4967422.7,0.2000,-4.86,181.25
906,5040018.7,0.2000,-5.06,179.65
907,5113675.6,0.2000,-5.25,178.25
908,5188409.0,0.2000,-5.43,176.88
909,5264234.6,0.2000,-5.66,174.42
910,5341168.3,0.2000,-5.86,174.05
911,5419226.4,0.2000,-6.11,171.69
912,5498425.3,0.2000,-6.33,171.10
913,5578781.6,0.2000,-6.52,169.61
914,5660312.2,0.2000,-6.76,168.11
915,5743034.4,0.2000,-6.94,166.69
916,5826965.5,0.2000,-7.20,165.11
917,5912123.2,0.2000,-7.45,163.39
918,5998525.5,0.2000,-7.63,160.93
919,6086190.4,0.2000,-7.91,159.45
920,6175136.6,0.2000,-8.10,157.96
921,6265382.6,0.2000,-8.34,157.44
922,6356947.5,0.2000,-8.60,156.09
923,6449850.6,0.2000,-8.79,153.47
924,6544111.4,0.2000,-9.04,153.32
925,6639749.8,0.2000,-9.28,150.49
926,6736785.9,0.2000,-9.48,150.26
927,6835240.1,0.2000,-9.72,148.71
928,6935133.2,0.2000,-9.98,147.11
929,7036486.1,0.2000,-10.24,145.79
930,7139320.3,0.2000,-10.47,144.25
931,7243657.3,0.2000,-10.67,142.86
932,7349519.2,0.2000,-10.95,141.04
933,7456928.1,0.2000,-11.12,138.99
934,7565906.8,0.2000,-11.35,138.45
935,7676478.1,0.2000,-11.63,137.20
936,7788665.4,0.2000,-11.82,135.53
937,7902492.2,0.2000,-12.09,134.34
938,8017982.5,0.2000,-12.31,131.15
939,8135160.7,0.2000,-12.58,131.22
940,8254051.3,0.2000,-12.83,129.95
941,8374679.5,0.2000,-13.06,128.29
942,8497070.6,0.2000,-13.24,125.37
943,8621250.3,0.2000,-13.54,125.56
944,8747244.9,0.2000,-13.76,124.30
945,8875080.8,0.2000,-14.06,122.52
946,9004785.0,0.2000,-14.24,121.29
947,9136384.7,0.2000,-14.46,119.85
948,9269907.6,0.2000,-14.79,118.00
949,9405381.9,0.2000,-15.06,115.47
950,9542836.1,0.2000,-15.29,113.79
951,9682299.1,0.2000,-15.54,114.28
952,9823800.3,0.2000,-15.76,111.23
953,9967369.4,0.2000,-16.05,111.14
954,10113036.8,0.2000,-16.26,108.25
955,10260832.9,0.2000,-16.53,108.78
956,10410789.0,0.2000,-16.75,105.61
957,10562936.7,0.2000,-16.94,103.65
958,10717307.9,0.2000,-17.22,104.44
959,10873935.1,0.2000,-17.44,103.20
960,11032851.3,0.2000,-17.66,101.86
961,11194090.0,0.2000,-17.86,100.24
962,11357685.2,0.2000,-18.08,98.89
963,11523671.1,0.2000,-18.28,95.34
964,11692082.9,0.2000,-18.61,95.78
965,11862955.9,0.2000,-18.73,94.66
966,12036326.1,0.2000,-18.97,93.03
967,12212230.0,0.2000,-19.18,91.80
968,12390704.7,0.2000,-19.40,90.58
969,12571787.6,0.2000,-19.65,89.17
970,12755517.0,0.2000,-19.80,87.11
971,12941931.5,0.2000,-20.05,86.35
972,13131070.3,0.2000,-20.23,85.26
973,13322973.2,0.2000,-20.45,84.12
974,13517680.8,0.2000,-20.66,82.83
975,13715233.8,0.2000,-20.85,81.33
976,13915674.0,0.2000,-21.07,80.19
977,14119043.5,0.2000,-21.31,78.97
978,14325385.1,0.2000,-21.49,77.65
979,14534742.3,0.2000,-21.65,76.49
980,14747159.1,0.2000,-21.92,75.29
981,14962680.3,0.2000,-22.10,74.80
982,15181351.1,0.2000,-22.25,73.62
983,15403217.8,0.2000,-22.45,72.48
984,15628326.9,0.2000,-22.63,70.98
985,15856725.8,0.2000,-22.84,69.64
986,16088462.6,0.2000,-23.01,69.16
987,16323586.2,0.2000,-23.20,68.18
988,16562145.9,0.2000,-23.40,66.63
989,16804192.0,0.2000,-23.50,65.49
990,17049775.5,0.2000,-23.76,64.35
991,17298948.1,0.2000,-23.93,63.32
992,17551762.2,0.2000,-24.10,62.28
993,17808271.0,0.2000,-24.23,60.85
994,18068528.5,0.2000,-24.46,60.24
995,18332589.6,0.2000,-24.60,59.46
996,18600509.7,0.2000,-24.77,58.26
997,18872345.4,0.2000,-24.89,57.33
998,19148153.7,0.2000,-25.08,55.98
999,19427992.9,0.2000,-25.24,55.04
1000,19711921.7,0.2000,-25.42,54.14
1001,20000000.0,0.2000,-25.57,53.53
